iter	Logloss
0	0.6339086171
1	0.5843371435
2	0.5428375556
3	0.5091285515
4	0.4814554441
5	0.4579195238
6	0.4384531785
7	0.4216735816
8	0.4079843706
9	0.3966706184
10	0.3870760499
11	0.3793349394
12	0.3731465766
13	0.3673996739
14	0.3627609242
15	0.3585477242
16	0.355007091
17	0.3517724563
18	0.3490637201
19	0.3468764845
20	0.344801605
21	0.3431089825
22	0.3416607914
23	0.3404359457
24	0.3393229112
25	0.3383341116
26	0.337539547
27	0.3367398895
28	0.336166409
29	0.3356024416
30	0.335182959
31	0.3346829543
32	0.3342342603
33	0.333960342
34	0.3335999748
35	0.3332711769
36	0.3329338899
37	0.3326948737
38	0.3325575195
39	0.3323762873
40	0.3322161367
41	0.3320327592
42	0.3318465822
43	0.3317097143
44	0.3315691845
45	0.3314300589
46	0.3313197172
47	0.3312033775
48	0.3310967366
49	0.330988037
50	0.330862152
51	0.3307787196
52	0.3306653694
53	0.3305553267
54	0.3304754005
55	0.3303625228
56	0.3302852941
57	0.3301893035
58	0.3300970241
59	0.3300062641
60	0.3299243908
61	0.3298335897
62	0.3297748118
63	0.3297116109
64	0.3296273133
65	0.3295627085
66	0.3294805046
67	0.3294273882
68	0.3293347456
69	0.3292779455
70	0.3292237029
71	0.3291507849
72	0.3290700018
73	0.3290170857
74	0.3289337489
75	0.3288603895
76	0.328765692
77	0.328715918
78	0.328652127
79	0.3286154789
80	0.3285223566
81	0.3284610589
82	0.3284105301
83	0.3283402505
84	0.3282544328
85	0.3282022348
86	0.3281422439
87	0.3280787372
88	0.3280233294
89	0.3279651987
90	0.3279080476
91	0.3278535302
92	0.3277883637
93	0.3277471704
94	0.3276923685
95	0.3276406356
96	0.3275886027
97	0.3275380422
98	0.3274757694
99	0.3274031557
100	0.3273542071
101	0.3272822665
102	0.3272272251
103	0.3271722503
104	0.3271178209
105	0.3270633842
106	0.3270161368
107	0.3269510019
108	0.3269042869
109	0.3268762491
110	0.3268149022
111	0.3267644831
112	0.3267155864
113	0.3266594967
114	0.3266137766
115	0.3265681342
116	0.3265045638
117	0.3264426012
118	0.3263825449
119	0.3263447145
120	0.3262976358
121	0.3262683696
122	0.3262049587
123	0.3261537453
124	0.3261101728
125	0.3260727996
126	0.3260218448
127	0.3259749937
128	0.3259256749
129	0.3258670364
130	0.3258233668
131	0.3257897708
132	0.3257243134
133	0.325685478
134	0.3256390525
135	0.3255776463
136	0.3255247027
137	0.3254841344
138	0.3254193011
139	0.3253722602
140	0.3253206178
141	0.3253070543
142	0.3252588062
143	0.3252073251
144	0.3251407883
145	0.3251038675
146	0.3250757517
147	0.3250161661
148	0.3249383964
149	0.3248928894
150	0.3248458436
151	0.3247831674
152	0.3247130659
153	0.3246599759
154	0.3246091839
155	0.3245505134
156	0.3245128728
157	0.324479195
158	0.3244345275
159	0.3243732503
160	0.3243199819
161	0.3242611103
162	0.3242253074
163	0.3241733203
164	0.324120548
165	0.3240606513
166	0.3240247585
167	0.323948908
168	0.3239136749
169	0.3238664889
170	0.3238181413
171	0.3237540447
172	0.3236902834
173	0.3236442002
174	0.3235905947
175	0.3235130487
176	0.3234726176
177	0.3234099951
178	0.3233355153
179	0.3232511091
180	0.3231828282
181	0.3231361922
182	0.3231007731
183	0.3230625328
184	0.3229930348
185	0.3229450655
186	0.3228743846
187	0.3228153174
188	0.3227730597
189	0.3227071128
190	0.322642515
191	0.3225833121
192	0.322516706
193	0.3224558288
194	0.3224073367
195	0.3223273027
196	0.3222792359
197	0.3222143915
198	0.32216975
199	0.3221145451
200	0.3220714934
201	0.3220122491
202	0.3219440747
203	0.321878345
204	0.3217982662
205	0.3217415214
206	0.3216990584
207	0.3216335572
208	0.3215801874
209	0.3215353568
210	0.3214699482
211	0.3214046314
212	0.3213707832
213	0.3213163744
214	0.3212615979
215	0.3212157087
216	0.3211555048
217	0.3210916974
218	0.3210261528
219	0.320970516
220	0.320927156
221	0.3208710337
222	0.3207927639
223	0.320754161
224	0.3206937473
225	0.3206398657
226	0.3205874532
227	0.3205258265
228	0.3204522275
229	0.3203985213
230	0.3203422364
231	0.3202706697
232	0.3202156689
233	0.3201801115
234	0.3201141341
235	0.3200527657
236	0.3199897077
237	0.3199117579
238	0.3198711456
239	0.3197794836
240	0.319716482
