iter	Passed	Remaining
0	126	126017
1	267	133310
2	441	146619
3	555	138281
4	685	136325
5	785	130139
6	908	128890
7	1078	133755
8	1225	134926
9	1437	142349
10	1604	144303
11	1801	148321
12	1947	147847
13	2006	141293
14	2065	135656
15	2116	130159
16	2163	125112
17	2240	122255
18	2369	122336
19	2483	121695
20	2563	119502
21	2644	117550
22	2744	116593
23	2825	114894
24	2897	112989
25	2973	111409
26	3057	110187
27	3134	108806
28	3216	107685
29	3303	106803
30	3397	106203
31	3477	105192
32	3552	104093
33	3633	103231
34	3729	102832
35	3814	102156
36	3884	101103
37	3950	100017
38	4023	99134
39	4089	98136
40	4160	97321
41	4226	96406
42	4295	95599
43	4356	94645
44	4428	93980
45	4522	93787
46	4611	93510
47	4694	93109
48	4773	92637
49	4843	92018
50	4911	91389
51	4976	90732
52	5038	90026
53	5099	89335
54	5157	88615
55	5219	87988
56	5271	87205
57	5325	86501
58	5386	85915
59	5441	85248
60	5494	84582
61	5554	84038
62	5602	83327
63	5658	82759
64	5707	82100
65	5754	81438
66	5797	80726
67	5836	79991
68	5880	79338
69	5923	78693
70	5969	78107
71	6014	77526
72	6061	76972
73	6106	76417
74	6152	75886
75	6194	75314
76	6233	74715
77	6272	74146
78	6315	73628
79	6355	73090
80	6401	72631
81	6447	72175
82	6496	71776
83	6540	71317
84	6588	70924
85	6632	70484
86	6672	70020
87	6713	69573
88	6754	69141
89	6793	68691
90	6833	68263
91	6875	67859
92	6916	67450
93	6955	67040
94	6996	66652
95	7035	66253
96	7078	65893
97	7117	65511
98	7206	65582
99	7276	65489
100	7327	65225
101	7378	64964
102	7431	64720
103	7494	64568
104	7541	64284
105	7593	64043
106	7643	63789
107	7696	63570
108	7744	63308
109	7794	63061
110	7841	62801
111	7889	62548
112	7930	62250
113	7976	61994
114	8017	61702
115	8057	61403
116	8099	61129
117	8141	60855
118	8187	60612
119	8227	60336
120	8272	60098
121	8317	59857
122	8362	59627
123	8407	59394
124	8452	59165
125	8498	58949
126	8546	58747
127	8594	58547
128	8647	58387
129	8694	58189
130	8741	57987
131	8785	57774
132	8822	57508
133	8863	57279
134	8906	57065
135	8943	56814
136	8977	56554
137	9009	56276
138	9045	56032
139	9082	55795
140	9116	55541
141	9148	55279
142	9183	55035
143	9217	54794
144	9250	54546
145	9281	54290
146	9314	54048
147	9345	53801
148	9378	53563
149	9409	53321
150	9437	53062
151	9470	52834
152	9499	52590
153	9531	52358
154	9562	52132
155	9612	52007
156	9645	51789
157	9678	51576
158	9711	51364
159	9741	51144
160	9773	50931
161	9805	50720
162	9835	50505
163	9866	50292
164	9897	50086
165	9930	49889
166	9963	49697
167	9998	49514
168	10033	49338
169	10068	49156
170	10100	48967
171	10136	48795
172	10171	48623
173	10205	48447
174	10241	48282
175	10275	48108
176	10311	47946
177	10346	47781
178	10383	47622
